track_name; album_name; release_date; album_uri; artists; artist_uri; duration_ms; popularity; track_number; track_uri; danceability; energy; key; mode; loudness; speechiness; acousticness; instrumentalness; liveness; valence; tempo; time_signature
Half Age; Half Age EP; 2013-03-19; spotify:album:1hDdP4atpaoKA5OE8ETG1u; Weval; spotify:artist:12tZvy2xFpWSkuJ3FsfisZ; 322000; 3; 7; spotify:track:1eW1tNLyHjm6lvZvOhf5SU; 0.603; 0.56; 5; 0; -10.381; 0.0448; 0.0355; 0.805; 0.422; 0.11; 111.005; 4
Stay Ugly; Stay Ugly EP; 2013-04-11; spotify:album:4SdrdBBRHRo1CL6u3vJrR7; Crim3s; spotify:artist:1ARDx2oCR7sJEjbnHsbbRU; 149090; 48; 4; spotify:track:1s6WVdrN6kz1ly1blsO4d3; 0.477; 0.846; 8; 1; -1.49; 0.029; 0.00379; 0.907; 0.271; 0.348; 131.887; 4
Born Slippy (Nuxx); 1992 - 2012; 2014-01-01; spotify:album:43baGAToTn6j7MMy7YU0yT; Underworld; spotify:artist:1PXHzxRDiLnjqNrRn2Xbsa; 456480; 0; 1; spotify:track:1zsDbmrf4ZkjW5hsSsaDjO; 0.576; 0.953; 10; 1; -8.968; 0.0362; 0.00106; 0.49; 0.474; 0.303; 140.042; 4
Open Eye Signal; Immunity; 2013-06-03; spotify:album:1rxWlYQcH945S3jpIMYR35; Jon Hopkins; spotify:artist:7yxi31szvlbwvKq9dYOmFI; 468586; 50; 2; spotify:track:6wMTeVootJ8RdCLNOZy5Km; 0.798; 0.715; 0; 1; -7.103; 0.215; 0.191; 0.773; 0.112; 0.199; 122.47; 3
One of the Girls; One of the Girls; 2018-06-01; spotify:album:5JArO2uHlm0giop6xcaRsB; Otha; spotify:artist:6UMUvqiDBEJLyx2uYplGCV; 231671; 46; 1; spotify:track:25FJ3Wsiv3woan4iN0fzYd; 0.703; 0.489; 2; 1; -12.695; 0.0461; 0.225; 0.906; 0.0967; 0.529; 124.991; 4
Got 2 Let U; Deep Cuts; 2003-01-17; spotify:album:1iqMDM4Io1tnDDl58NGeVJ; The Knife; spotify:artist:7eQZTqEMozBcuSubfu52i4; 239826; 27; 12; spotify:track:4W6RXZIwBitvWv0oQEWA0j; 0.942; 0.535; 0; 1; -9.581; 0.0409; 0.0171; 1.26e-06; 0.0564; 0.921; 105.982; 4
Sosie; Hyper Cristal; 2019-03-29; spotify:album:4ZpYBa9mQ2RynjG2qU1zvu; Irène Drésel; spotify:artist:23bTAvgtZrtRCWgEtqxQwA; 332001; 21; 7; spotify:track:6vH5Mg5BbIGd8ekXhQeuOq; 0.705; 0.604; 11; 0; -9.226; 0.052; 0.00159; 0.913; 0.1; 0.765; 125.464; 4
Linked; Linked; 2019-07-01; spotify:album:6Eb3lH04iEMK0YJ8gk01MR; Bonobo; spotify:artist:0cmWgDlu9CwTgxPhf403hb; 369461; 62; 1; spotify:track:3rCtueI7qBN2kZBZnXuk5K; 0.713; 0.725; 6; 1; -9.951; 0.0385; 0.539; 0.886; 0.111; 0.24; 122.041; 4
Project Cybersyn; Family Portrait; 2018-07-27; spotify:album:24eRSwYbneTDkehVHM2MVf; Ross from Friends; spotify:artist:1Ma3pJzPIrAyYPNRkp3SUF; 309355; 41; 5; spotify:track:39L1ci8l2THU5Nh1dbBIrM; 0.8; 0.536; 1; 1; -7.601; 0.386; 0.0156; 0.024; 0.126; 0.284; 125.982; 4
Sour; Sub Rosa; 2014-11-11; spotify:album:4FtDW4YL7mycWWGo4lrnWk; Void Vision; spotify:artist:4PJ7jtAtcsjZItnD91XrMU; 271520; 40; 4; spotify:track:30zT8r524Be5bx9DJgNv60; 0.594; 0.703; 8; 1; -9.936; 0.0337; 1.27e-05; 0.888; 0.316; 0.435; 130.013; 4
Emerge; #1; 2003-01-01; spotify:album:3OCiJ6mbOzJdzTrk8R9hy2; Fischerspooner; spotify:artist:5R7K1GezC0jy24v1R2n4x3; 288306; 52; 3; spotify:track:3vyKSb9sAdXl0kQ1KnS9fY; 0.607; 0.734; 10; 1; -7.622; 0.0445; 0.0906; 0.812; 0.0925; 0.569; 147.941; 4
Three Sides of Nazareth; Sirens; 2016-09-30; spotify:album:2EvZiOMBlC9b5hbjbZCjZv; Nicolas Jaar; spotify:artist:5a0etAzO5V26gvlbmHzT9W; 594586; 42; 5; spotify:track:4TGt6VkcfTfBnjD6utxMWE; 0.683; 0.723; 7; 1; -9.794; 0.0752; 0.187; 0.549; 0.12; 0.319; 139.999; 4
Archangel; Untrue; 2007; spotify:album:1CI5OW60s9W41YLI80Jjdr; Burial; spotify:artist:0uCCBpmg6MrPb1KY2msceF; 238426; 44; 2; spotify:track:1aaIYTqoRDzRUilU2Q6vTe; 0.624; 0.852; 1; 1; -10.184; 0.153; 0.428; 0.656; 0.114; 0.512; 135.223; 4
Drone Logic; Drone Logic; 2013-10-07; spotify:album:40CBXF9jJwK21mrqlmBr92; Daniel Avery; spotify:artist:1EULJuDFWpZ9xg4YwtUGGt; 429453; 47; 3; spotify:track:7JRN5xOUIrnI4crUMOt6X4; 0.648; 0.712; 9; 1; -7.222; 0.0333; 0.131; 0.843; 0.287; 0.104; 114.027; 4
Professional Loving; Emika; 2011-10-03; spotify:album:22C1JrW86j6L4qFWQmI1du; Emika; spotify:artist:50Gx1SNB4vH2V7peIiYD4S; 227640; 29; 3; spotify:track:5AEiZHJHBawkYZKyOq7B7y; 0.86; 0.146; 2; 1; -16.68; 0.0529; 0.256; 0.621; 0.105; 0.0757; 120.008; 4
Pain; Lesser Man EP; 2014; spotify:album:0U0KLShCpe3rWkcfOLJl9Y; Boy Harsher; spotify:artist:4iom7VVRU6AHRIu1JUXpLG; 439490; 55; 3; spotify:track:13HYthybjhM3iyWcfl8VcN; 0.717; 0.924; 2; 1; -4.707; 0.0285; 0.043; 0.6; 0.11; 0.791; 128.025; 4
Bassically; Verde; 2015-04-17; spotify:album:4UgPnKsu5oqfJSaK4kkLT1; Tei Shi; spotify:artist:1xcMOgFUM1IYZE22YjCvsL; 291117; 30; 2; spotify:track:1RFxoPtr9svzsslCxIauiu; 0.608; 0.626; 6; 0; -9.545; 0.0403; 0.000742; 0.794; 0.143; 0.47; 99.988; 4
Sordid Affair - Maceo Plex Remix; Sordid Affair Remixes; 2014-12-29; spotify:album:7r31OHHoSZi3cK1UA2rUTe; Röyksopp; spotify:artist:5nPOO9iTcrs9k6yFffPxjH; 478265; 25; 2; spotify:track:6zZ4KgflmdCnctGl4fGXAO; 0.741; 0.718; 10; 0; -7.878; 0.0378; 0.000253; 0.248; 0.0983; 0.374; 123.004; 4
Sleep Deprivation; Attack Decay Sustain Release; 2007-01-01; spotify:album:33Egk2iyDKq0eYzTirBTuO; Simian Mobile Disco; spotify:artist:31DXlldabwPHwu6dYevuzK; 298346; 34; 1; spotify:track:2E1ZDtrJtsWdkyIbPDwFTu; 0.675; 0.803; 10; 0; -6.893; 0.0459; 0.00448; 0.66; 0.126; 0.108; 130.247; 4
Moment; Get Physical Music Presents: Get Physical Essentials, Vol. 6; 2014-04-25; spotify:album:2KqSJ4L7RNbnOj1PfWBwK5; Damian Lazarus; spotify:artist:3EIJ8wiUHbgkRCt5cpRrQv; 539773; 30; 2; spotify:track:5caNh2aqb3bhZGyezvUpQi; 0.54; 0.381; 7; 1; -10.991; 0.0564; 0.452; 0.482; 0.113; 0.0778; 115.019; 4
Дельфины; Транс; 2019-10-04; spotify:album:12zUXfpt4itaTDJ2AEqMBk; Luna; spotify:artist:4sTO5nmBIlTF35aTnt6U7n; 245000; 47; 6; spotify:track:0S2BwV8XCMhrlL5adcFa87; 0.766; 0.647; 9; 0; -8.4; 0.0366; 0.0141; 7.55e-05; 0.314; 0.246; 111.972; 4
