track_name; album_name; release_date; album_uri; artists; artist_uri; duration_ms; popularity; track_number; track_uri; danceability; energy; key; mode; loudness; speechiness; acousticness; instrumentalness; liveness; valence; tempo; time_signature
I Don't Wanna; Hard to Forget - EP; 2016-10-21; spotify:album:2BON9YOH0dbvZpr4wv3w2R; Jane XØ; spotify:artist:5keDbKEPwrbe36cPzRpzsK; 213667; 35; 4; spotify:track:7Ibg5lbwJ43cPbtDOgaUh6; 0.594; 0.651; 8; 1; -5.253; 0.0361; 0.367; 1.36e-05; 0.0949; 0.593; 181.905; 4
Sensations; Elohim (2016); 2016-05-20; spotify:album:26XFHcEJnCnfW3AaQ3ahuB; Elohim; spotify:artist:6wKxOKEA3K6R2UZ3COLXEY; 242764; 32; 1; spotify:track:2G6HrgZpsMhPPv0dS6wYZ8; 0.586; 0.517; 5; 1; -7.407; 0.0332; 0.296; 6.04e-05; 0.181; 0.165; 114.039; 4
Buzzcut Season; Pure Heroine; 2013-09-27; spotify:album:0rmhjUgoVa17LZuS8xWQ3v; Lorde; spotify:artist:163tK9Wjr9P9DmM0AVK7lm; 246755; 63; 5; spotify:track:51QEyJI5M7uyd8DOh9tqQY; 0.733; 0.62; 1; 1; -10.525; 0.075; 0.606; 0.305; 0.117; 0.247; 111.039; 4
Homemade Dynamite - REMIX; Melodrama; 2017-11-10; spotify:album:4oCGmYsAQOWt2ACWTpNUU6; Lorde; spotify:artist:163tK9Wjr9P9DmM0AVK7lm; 214254; 65; 12; spotify:track:5u64RlrnvvbtNh6R0EMh6o; 0.781; 0.548; 0; 0; -4.997; 0.0764; 0.229; 0; 0.127; 0.175; 106.996; 4
American Money; Dopamine; 2015-10-16; spotify:album:17l7MIu0Jh0tdgK7or9ovw; BØRNS; spotify:artist:1KP6TWI40m7p3QBTU6u2xo; 260986; 66; 4; spotify:track:4AewKenHXKBt643p473xCk; 0.542; 0.867; 6; 0; -5.26; 0.0813; 0.0226; 0.00347; 0.116; 0.326; 134.984; 4
Electric Love - Oliver Remix; Electric Love (Oliver Remix); 2015-11-20; spotify:album:2Y81I8p6wKD13rSgp9aujA; BØRNS; spotify:artist:1KP6TWI40m7p3QBTU6u2xo; 253880; 57; 1; spotify:track:00Ci0EXS4fNPnkTbS6wkOh; 0.53; 0.77; 9; 1; -5.882; 0.0824; 0.000965; 0.0115; 0.265; 0.107; 184.537; 3
Tick Tock; Geography; 2018-04-06; spotify:album:28enuddLPEA914scE6Drvk; Tom Misch; spotify:artist:1uiEZYehlNivdK3iQyAbye; 253848; 51; 5; spotify:track:3al8a3uZrOZIHc6J1n8i5f; 0.839; 0.536; 2; 0; -10.304; 0.0682; 0.361; 0.922; 0.0879; 0.124; 115.03; 4
gray; sotto voce; 2016-06-12; spotify:album:4HC2G7sSf1JG3puEMHvQBb; slenderbodies; spotify:artist:3S4d3YRNGg2OhnNm3QvfhA; 183157; 55; 1; spotify:track:6k8Z9CtoRLk9mXarke5LHQ; 0.804; 0.581; 8; 0; -4.733; 0.107; 0.428; 0.000112; 0.17; 0.417; 95.033; 4
Sleep On The Floor; Cleopatra; 2016-04-08; spotify:album:2zbTrm2pIAErzFSopinkbN; The Lumineers; spotify:artist:16oZKvXb6WkQlVAjwo2Wbg; 211851; 65; 1; spotify:track:5MMZJtHOiH1RmQSSe3DJdg; 0.389; 0.431; 7; 1; -8.061; 0.0344; 0.249; 0; 0.13; 0.275; 142.14; 4
Ophelia; Cleopatra; 2016-04-08; spotify:album:2zbTrm2pIAErzFSopinkbN; The Lumineers; spotify:artist:16oZKvXb6WkQlVAjwo2Wbg; 160097; 73; 2; spotify:track:3d8y0t70g7hw2FOWl9Z4Fm; 0.664; 0.573; 5; 1; -6.519; 0.0277; 0.613; 0.000363; 0.0857; 0.566; 76.023; 4
